task,holdout_family,policy,attempts,constructed,violations,median_risk_violation,median_ood_coverage
expt_gap,chalcogenide,descriptor_distance,10,2,2,0.3254329929128516,0.0
expt_gap,chalcogenide,ensemble_std,10,10,10,0.3179362940740377,0.9989429175475687
expt_gap,chalcogenide,equal_rank_hybrid,10,10,10,0.31779541700904335,0.4647639182522903
expt_gap,other,descriptor_distance,10,8,0,,0.0
expt_gap,other,ensemble_std,10,10,10,0.13436856800553576,0.5502873563218391
expt_gap,other,equal_rank_hybrid,10,10,0,-0.3132239710012015,0.09231321839080456
expt_gap,oxide,descriptor_distance,10,10,10,0.988065671506308,1.0
expt_gap,oxide,ensemble_std,10,10,10,0.988065671506308,1.0
expt_gap,oxide,equal_rank_hybrid,10,10,10,0.988065671506308,1.0
expt_gap,pnictide,descriptor_distance,10,3,3,0.3409082452071738,0.0
expt_gap,pnictide,ensemble_std,10,10,10,0.12899523221326414,0.9923913043478261
expt_gap,pnictide,equal_rank_hybrid,10,10,10,0.1333475759989377,0.8673913043478261
log_kvrh,chalcogenide,descriptor_distance,10,10,10,0.1049305524768961,0.9661723818350324
log_kvrh,chalcogenide,ensemble_std,10,10,10,0.1082663368700174,0.9777571825764597
log_kvrh,chalcogenide,equal_rank_hybrid,10,10,10,0.10059260972326525,0.7766450417052827
log_kvrh,halide,descriptor_distance,10,10,10,0.21391675348128408,0.9649321266968326
log_kvrh,halide,ensemble_std,10,10,10,0.24602361928582944,0.9779411764705883
log_kvrh,halide,equal_rank_hybrid,10,10,10,0.24264772260886985,0.9100678733031674
log_kvrh,other,descriptor_distance,10,1,0,-0.0084227899860774,0.0
log_kvrh,other,ensemble_std,10,10,10,0.06830175854591355,0.7607327905255366
log_kvrh,other,equal_rank_hybrid,10,10,7,0.0148868596207335,0.149981495188749
log_kvrh,oxide,descriptor_distance,10,10,10,0.09527597918254835,1.0
log_kvrh,oxide,ensemble_std,10,10,10,0.09527597918254835,1.0
log_kvrh,oxide,equal_rank_hybrid,10,10,10,0.09520364427089326,1.0
log_kvrh,pnictide,descriptor_distance,10,10,10,0.0249564715139622,0.9972144846796658
log_kvrh,pnictide,ensemble_std,10,10,10,0.014333592487131348,0.9571727019498607
log_kvrh,pnictide,equal_rank_hybrid,10,10,9,0.00830140534358215,0.8777855153203342
