task,shift_type,policy,attempted,constructed,median_coverage,median_risk_violation,median_spearman,risk_evaluable,risk_breaches,coverage_failures,operational_failures
expt_gap,cluster,descriptor_distance,12,6,0.0,1.6741085197377328,0.07198307300308725,5,5,1,6
expt_gap,cluster,quantile_width,12,11,0.7306841648284601,0.8419572953736656,0.4257177009519032,11,8,3,9
expt_gap,cluster,rf_distance_hybrid,12,12,0.34731543624161076,0.5024494030812201,0.0074965897624836506,12,10,6,12
expt_gap,cluster,rf_ensemble_std,12,12,0.9986845144405132,0.5053348243983945,0.0159253236311628,12,11,0,11
expt_gap,element,descriptor_distance,18,10,0.05481086869713579,0.2654875619040073,-0.04299919319318185,10,10,5,10
expt_gap,element,quantile_width,18,18,0.8903980634749866,0.8159597242380261,0.41782555275844446,18,18,0,18
expt_gap,element,rf_distance_hybrid,18,18,0.9931952662721895,0.3561349979400814,0.30397400929971163,18,18,0,18
expt_gap,element,rf_ensemble_std,18,18,0.9921225174871431,0.343467253379556,0.3587259343944198,18,18,0,18
log_kvrh,cluster,descriptor_distance,9,6,0.6234567901234568,0.0421822396041126,0.228385665974986,6,3,0,3
log_kvrh,cluster,quantile_width,9,8,1.0,0.1023407335021254,0.1229218545959464,8,6,1,6
log_kvrh,cluster,rf_distance_hybrid,9,7,0.91846921797005,0.0725629062626636,0.2204806986699141,7,4,1,4
log_kvrh,cluster,rf_ensemble_std,9,9,1.0,0.1117690569629362,0.2506690057783942,9,6,1,6
log_kvrh,element,descriptor_distance,18,18,1.0,-0.01503345620730035,0.0868822056611455,18,7,0,7
log_kvrh,element,quantile_width,18,18,1.0,-0.0197009192320309,0.1398684944922842,18,6,0,6
log_kvrh,element,rf_distance_hybrid,18,18,1.0,-0.01503345620730035,0.2142298371452626,18,7,0,7
log_kvrh,element,rf_ensemble_std,18,18,1.0,-0.01503345620730035,0.1613882111081226,18,7,0,7
