task,shift_type,policy,attempted,constructed,risk_evaluable,risk_breaches,operational_failures,operational_failure_rate,median_ood_coverage,median_risk_violation,median_spearman,median_excess_aurc
expt_gap,cluster,descriptor_distance,40,19,13,13,19,1.0,0.96877710320902,1.7126243899476776,0.1098222157205372,0.9850062824652146
expt_gap,cluster,quantile_width,40,38,38,31,33,0.868421052631579,0.9840604026845639,0.8429047103495888,0.3846076925106471,0.5268645512092952
expt_gap,cluster,rf_distance_hybrid,40,40,40,31,40,1.0,0.5471588958725424,0.6296969221923824,0.0772605846967508,0.6117809650707728
expt_gap,cluster,rf_ensemble_std,40,40,40,40,40,1.0,0.9978172117518749,0.4875771679077364,0.0265445211970729,0.5912931704630395
expt_gap,element,descriptor_distance,60,33,33,33,33,1.0,0.1948717948717948,0.3150262567329548,-0.0551778013413387,0.6367364073175925
expt_gap,element,quantile_width,60,60,60,58,58,0.9666666666666667,0.9012364631014849,0.830730292473639,0.40099982232914033,0.384313171828105
expt_gap,element,rf_distance_hybrid,60,60,60,60,60,1.0,0.99211071946921,0.3563518459764682,0.3081996303915351,0.5004040248309394
expt_gap,element,rf_ensemble_std,60,60,60,60,60,1.0,0.9923312883435584,0.346141303044782,0.35894221986473235,0.5235748509055784
log_kvrh,cluster,descriptor_distance,30,21,21,21,21,1.0,0.995,0.0773328885304703,0.1533261665602742,0.1268409307823952
log_kvrh,cluster,quantile_width,30,30,30,30,30,1.0,1.0,0.0963825165973474,0.19263272696261208,0.1271877486610774
log_kvrh,cluster,rf_distance_hybrid,30,30,30,29,30,1.0,0.9109811146936896,0.07411965200427986,0.3247851344332895,0.1118131674707146
log_kvrh,cluster,rf_ensemble_std,30,30,30,30,30,1.0,0.9970059880239521,0.0885175195305404,0.28808804855523806,0.11205386264554135
log_kvrh,element,descriptor_distance,60,60,60,19,19,0.31666666666666665,1.0,-0.019785203886590053,0.08909634510975915,0.0705022406697893
log_kvrh,element,quantile_width,60,60,60,21,21,0.35,1.0,-0.016979978222819648,0.12375188768922044,0.06313685705334796
log_kvrh,element,rf_distance_hybrid,60,60,60,19,19,0.31666666666666665,1.0,-0.019785203886590053,0.1970362940540529,0.05201391569367905
log_kvrh,element,rf_ensemble_std,60,60,60,19,19,0.31666666666666665,1.0,-0.019785203886590053,0.1624660753843289,0.054333286170463804
