task,epsilon,policy,constructed,operational_failure_rate,median_coverage,median_violation
expt_gap,0.3,quantile_width,91,0.9340659340659341,0.8994082840236687,1.0338435940099833
expt_gap,0.3,rf_distance_hybrid,91,1.0,0.5322085889570553,0.3390168227695955
expt_gap,0.3,rf_ensemble_std,95,1.0,0.7449664429530202,0.643108936703044
expt_gap,0.4,descriptor_distance,16,1.0,0.0123853211009174,1.0552930018400306
expt_gap,0.4,quantile_width,94,0.9468085106382979,0.9097633136094676,0.9421238718248637
expt_gap,0.4,rf_distance_hybrid,99,1.0,0.8328840970350404,0.3786076229209389
expt_gap,0.4,rf_ensemble_std,100,1.0,0.9312722777046338,0.5007973827875389
expt_gap,0.5,descriptor_distance,52,1.0,0.27386859404403263,0.5910829669074746
expt_gap,0.5,quantile_width,98,0.9285714285714286,0.9171597633136095,0.8429047103495888
expt_gap,0.5,rf_distance_hybrid,100,1.0,0.9859210319333018,0.4705657944821162
expt_gap,0.5,rf_ensemble_std,100,1.0,0.993948877512256,0.41166372820263863
expt_gap,0.6,descriptor_distance,97,1.0,1.0,0.3874824166186041
expt_gap,0.6,quantile_width,100,0.93,0.9267751479289941,0.7440282685512368
expt_gap,0.6,rf_distance_hybrid,100,1.0,1.0,0.33471103400479396
expt_gap,0.6,rf_ensemble_std,100,1.0,1.0,0.3753390842794453
expt_gap,0.7,descriptor_distance,100,0.88,1.0,0.31035271817724464
expt_gap,0.7,quantile_width,100,0.96,0.9582210242587601,0.651518901924699
expt_gap,0.7,rf_distance_hybrid,100,0.85,1.0,0.26125115028050483
expt_gap,0.7,rf_ensemble_std,100,0.87,1.0,0.28760203251359445
log_kvrh,0.1,descriptor_distance,4,1.0,0.0128972823583602,0.170656087922805
log_kvrh,0.1,quantile_width,90,0.7777777777777778,0.942625,0.0576317935718483
log_kvrh,0.1,rf_distance_hybrid,83,0.8072289156626506,0.6820728291316527,0.0203815964315616
log_kvrh,0.1,rf_ensemble_std,86,0.8604651162790697,0.8303039878904208,0.045258759685154845
log_kvrh,0.125,descriptor_distance,74,0.6891891891891891,1.0,0.02683733709972415
log_kvrh,0.125,quantile_width,90,0.6666666666666666,0.9977603583426652,0.03799633249600875
log_kvrh,0.125,rf_distance_hybrid,88,0.6931818181818182,0.9997696913864578,0.025073378118287748
log_kvrh,0.125,rf_ensemble_std,90,0.7,1.0,0.02774821412680485
log_kvrh,0.15,descriptor_distance,81,0.49382716049382713,1.0,-0.0005748573026286
log_kvrh,0.15,quantile_width,90,0.5666666666666667,1.0,0.01321236174281455
log_kvrh,0.15,rf_distance_hybrid,90,0.5444444444444444,1.0,0.00265520833298515
log_kvrh,0.15,rf_ensemble_std,90,0.5444444444444444,1.0,0.0028475092238877
log_kvrh,0.175,descriptor_distance,90,0.4222222222222222,1.0,-0.0221891020339758
log_kvrh,0.175,quantile_width,90,0.4444444444444444,1.0,-0.011787638257185349
log_kvrh,0.175,rf_distance_hybrid,90,0.43333333333333335,1.0,-0.0221891020339758
log_kvrh,0.175,rf_ensemble_std,90,0.4444444444444444,1.0,-0.0221524907761122
log_kvrh,0.2,descriptor_distance,90,0.4,1.0,-0.047189102033975805
log_kvrh,0.2,quantile_width,90,0.4444444444444444,1.0,-0.036787638257185395
log_kvrh,0.2,rf_distance_hybrid,90,0.3888888888888889,1.0,-0.047189102033975805
log_kvrh,0.2,rf_ensemble_std,90,0.4,1.0,-0.0471524907761122
